accession	ec_numbers	KM_values	pH_optima	Topt
Q4WEA1	3.2.1.6			
Q4WJP2	3.2.1.6			
Q4WQM7	3.2.1.6			
Q4X084	3.2.1.6			
Q51723	3.2.1.21	0.28;2.3;31.0		
Q54276	3.2.1.14			
Q546P8	3.2.1.14			
Q55365	3.2.1.6			
Q59328	3.2.1.39;3.2.1.6			
Q5MYT4	3.2.1.14	0.034;0.035;0.035;0.036;0.042		
Q5UAW3	3.2.1.73			
Q5YLC0	3.2.1.14			
Q6BHG6	3.2.1.39			
Q6QGY5	3.2.1.21	0.25		
Q6T484	3.2.1.14			
Q6YAT3	3.2.1.73			
Q700B8	3.2.1.14	;0.0042;0.0068;0.0798		
Q70C53	3.2.1.39			
Q75I93	3.2.1.21	2.1;0.139;0.16;0.201;0.22;0.23;0.95;1.08;14.3;21.9;22.0;61.1;74.4;9.25		
Q75ZW9	3.2.1.14	0.00044		
Q76EB5	3.2.1.14			
Q7M4T0	3.2.1.75			
Q7S3R5	3.2.1.21	0.21		
Q7XAU6	3.2.1.14			
Q7Z0T2	3.2.1.39			
Q7Z9L3	3.2.1.58			
Q7Z9M5	3.2.1.21	1.1		
Q7ZA48	3.2.1.75			
Q846Q0	3.2.1.73			
Q84C00	3.2.1.73			
Q84F88	3.2.1.73			
Q84GK1	3.2.1.6			
Q852P9	3.2.1.14			
Q869E2	3.2.1.14			
Q86D78	3.2.1.21			
Q874E3	3.2.1.6			
Q875K3	3.2.1.21	0.6;1.8		
Q8A2J3	3.2.1.75			
Q8GEB4	3.2.1.21			
Q8GMY0	3.2.1.6			
Q8ITU3	3.2.1.14	0.165;0.174		
Q8L7J2	3.2.1.21	0.5;14.9;15.3;3.6;5.0;6.06;6.3;8.7;9.8		
Q8NJN4	3.2.1.75			
Q8S313	3.2.1.58			
Q8S314	3.2.1.58			
Q8S315	3.2.1.58			
Q8S9P4	3.2.1.73			
Q8T0W7	3.2.1.21	3.8		
Q8TGC6	3.2.1.21	0.12;0.2;4.06;5.05		
Q8TGI8	3.2.1.21	0.13;0.39;0.4;0.4;0.4;0.78		
Q8TGW8	3.2.1.14			
Q8U1H4	3.2.1.14			
Q8U1H5	3.2.1.14	0.09;0.12;0.46;0.54;0.61;0.74;12.7		
Q8VQN1	3.2.1.14			
Q8W427	3.2.1.14			
Q8W428	3.2.1.14			
Q92223	3.2.1.14			
Q93AD3	3.2.1.14	2.99;9.66		
Q93LF1	3.2.1.14			
Q973G3	3.2.1.14			
Q97UH8	3.2.1.21	0.8;0.9;10.8;2.1		
Q9AT27	3.2.1.21	0.76		
Q9AXR9	3.2.1.14			
Q9BZP6	3.2.1.14	;0.03;0.048;0.07;0.072;0.134;0.171		
Q9C3Z9	3.2.1.21	0.2		
Q9C525	3.2.1.21	0.73;0.81;5.8;9.7		
Q9C8Y9	3.2.1.21	0.73;0.81;5.8;9.7		
Q9CE95	3.2.1.14			
Q9FRV1	3.2.1.14			
Q9FYS3	3.2.1.21			
Q9H227	3.2.1.21	0.12;0.19;0.9;122.0;148.0;18.4;30.2;36.1;5.1;;0.38		
Q9HIL6	3.2.1.21	0.2;1.3;1.5;0.4		
Q9L816	3.2.1.39			
Q9M563	3.2.1.39	0.147		
Q9P8F4	3.2.1.21	0.18		
Q9RA61	3.2.1.21			
Q9SLA0	3.2.1.21	0.78;1.9;2.1		
Q9SQF7	3.2.1.14			
Q9SR37	3.2.1.21	0.73;0.81;5.8;9.7		
Q9SXY6	3.2.1.39			
Q9SXY8	3.2.1.39			
Q9UVV0	3.2.1.39			
Q9WXN1	3.2.1.39			
Q9X274	3.2.1.73	;		
Q9XEN6	3.2.1.14			
Q9YGA8	3.2.1.21	0.2;0.38;1.01;2.8;3.1;3.3;6.6		
Q9YGB8	3.2.1.21	0.4;0.94;1.08;1.29;4.6;9.23		
S5U834	3.2.1.21	12.3;0.29		
S6DXG7	3.2.1.73			
U5HK45	3.2.1.39			
U5LKV8	3.2.1.14	2.0		
U5LUV7	3.2.1.14			
W8NXM8	3.2.1.39			
X4YXV3	3.2.1.6			
